EmployeeID,FirstName,LastName,Title,Department,Office
10001111, Matt, Carter, UX Designer, Design, Nashville
10001112, Tristan, Grossman, Sysadmin, IT, Birmingham
10001113, Emma, Reeves, Project Manager, Executive Office, Birmingham
10001114, Jacob, McCoy, CEO, Executive Office, Birmingham
10001115, Kyle Griffith, Systems Engineer, IT, Nashville
10001116, Trae, Smith, Help Desk Technician, IT, Birmingham
10001117, Christine, Welts, Sysadmin, IT, Atlanta
10001118, Jay, Murphy, Sr Developer, Development, Atlanta
10001119, Carter, Brown, Jr Developer, Development, Nashville
10001120, Lisa, Dunn, Help Desk Technician, IT, Atlanta
